alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,5820,-1,254,0.5630,4.2050e-05,NaN,2.6205e-04,NaN
0.20,0.80,50,304,-1,2447,0.5811,4.7136e-04,NaN,1.0768e-04,NaN
0.20,0.80,50,2940,6500,2135,0.5386,5.0124e-05,NaN,1.2846e-03,1.6253e-04
0.20,0.80,50,3944,-1,15488,0.6255,6.6460e-05,NaN,2.0954e-04,NaN
0.20,0.80,50,7348,-1,12570,0.5610,2.6223e-05,NaN,6.2642e-04,NaN
0.20,0.80,50,2868,-1,15737,0.5439,6.8241e-05,NaN,1.4607e-04,NaN
0.20,0.80,50,7712,7916,4973,0.5801,3.1930e-05,NaN,2.7327e-02,6.1800e-04
0.20,0.80,50,3132,-1,14415,0.5767,6.3503e-05,NaN,1.5674e-04,NaN
0.20,0.80,50,4232,-1,12331,0.5635,4.3986e-05,NaN,3.7099e-04,NaN
0.20,0.80,50,8132,-1,7239,0.5664,2.4436e-05,NaN,5.1050e-04,NaN
0.22,0.80,45,1716,-1,11194,0.5156,8.3951e-05,NaN,1.1116e-04,NaN
0.22,0.80,45,3280,7236,11678,0.4600,4.0649e-05,NaN,2.8342e-04,1.2451e-04
0.22,0.80,45,9576,-1,4561,0.4978,2.4518e-05,NaN,6.8623e-03,NaN
0.22,0.80,45,1144,1644,1214,0.4307,1.1951e-04,NaN,2.2325e-03,3.9666e-05
0.22,0.80,45,4408,6092,6602,0.5405,4.1659e-05,NaN,7.9186e-04,4.8505e-04
0.22,0.80,45,900,1108,15640,0.5220,5.9429e-05,NaN,3.2141e-02,1.3744e-03
0.22,0.80,45,8636,8840,6684,0.5093,2.1828e-05,NaN,1.5047e-02,1.2609e-02
0.22,0.80,45,5712,9032,16346,0.5762,3.9706e-05,NaN,4.2425e-04,1.1818e-03
0.22,0.80,45,900,-1,12116,0.5391,1.5350e-04,NaN,1.8574e-04,NaN
0.22,0.80,45,4604,-1,17693,0.5996,5.1800e-05,NaN,1.2914e-03,NaN
0.22,0.80,45,8188,-1,11003,0.5464,2.9256e-05,NaN,5.3206e-04,NaN
0.22,0.80,45,1864,4088,11312,0.4934,7.1700e-05,NaN,5.2074e-04,5.5235e-03
0.22,0.80,45,7756,7960,2926,0.6460,4.4445e-05,NaN,2.7541e-02,5.7472e-03
0.22,0.80,45,5944,-1,10805,0.5522,4.0084e-05,NaN,2.5289e-04,NaN
0.22,0.80,45,3264,-1,18517,0.4800,4.7275e-05,NaN,1.2585e-04,NaN
0.22,0.80,45,1216,4732,1406,0.6113,1.1780e-04,NaN,9.3907e-04,1.7962e-03
0.22,0.80,45,5320,8608,15536,0.5586,3.9714e-05,NaN,8.9099e-04,2.0874e-03
0.22,0.80,45,5444,5652,13404,0.5273,3.8125e-05,NaN,1.4125e-02,3.7630e-04
0.22,0.80,45,48,252,13372,0.5718,4.1190e-03,NaN,9.7838e-03,4.1708e-04
0.22,0.80,45,4168,-1,8808,0.4539,3.1598e-05,NaN,5.1839e-04,NaN
0.22,0.80,45,3912,-1,15885,0.5757,4.6685e-05,NaN,2.9980e-04,NaN
0.22,0.80,45,6084,-1,10930,0.5610,3.9840e-05,NaN,2.6810e-04,NaN
0.22,0.80,45,1576,-1,9272,0.5093,7.1421e-05,NaN,9.7410e-05,NaN
0.22,0.80,45,2288,-1,19592,0.3792,3.8052e-05,NaN,8.0952e-05,NaN
0.22,0.80,45,8776,8980,17774,0.5249,2.2650e-05,NaN,8.2273e-03,2.2556e-04
0.22,0.80,45,9128,9332,2378,0.6426,3.2589e-05,NaN,1.3633e-02,1.8860e-04
0.22,0.80,45,7088,7292,6093,0.5474,3.6650e-05,NaN,1.3355e-02,2.1885e-03
0.22,0.80,45,4376,-1,2004,0.5166,3.4598e-05,NaN,6.8763e-04,NaN
0.22,0.80,45,3860,-1,15937,0.4509,3.8610e-05,NaN,2.3228e-04,NaN
0.22,0.80,45,6216,-1,17267,0.4854,2.7649e-05,NaN,2.1347e-04,NaN
0.22,0.80,45,5144,-1,15848,0.4646,3.2705e-05,NaN,1.7269e-04,NaN
0.22,0.80,45,6092,6296,18911,0.5532,3.6863e-05,NaN,8.2852e-03,1.2759e-03
0.22,0.80,45,676,896,16949,0.5815,1.0292e-04,NaN,2.3894e-02,5.1392e-04
0.22,0.80,45,2384,3964,3266,0.6606,9.7100e-05,NaN,1.7068e-03,3.0635e-03
