# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.04500,88,29965,54,0.979026,0.976635,0.956690,0.558885
0.200,0.04500,88,30049,55,0.978021,0.975553,0.952960,0.551116
0.200,0.04500,88,29833,56,0.977993,0.978901,0.959955,0.564192
0.200,0.04500,88,29954,57,0.978590,0.978129,0.956768,0.578701
0.200,0.04500,88,29958,58,0.979464,0.979711,0.960673,0.537617
0.200,0.04500,88,30266,59,0.977468,0.978430,0.954790,0.540669
0.200,0.04500,88,30202,60,0.974486,0.979195,0.954059,0.561319
0.200,0.04500,88,30342,61,0.979009,0.976125,0.956611,0.582534
0.200,0.04500,88,29949,62,0.977926,0.976513,0.956353,0.559687
0.200,0.04500,88,29897,63,0.978489,0.979422,0.960521,0.563559
0.200,0.04500,88,30343,64,0.978082,0.978186,0.958445,0.527463
0.200,0.05500,88,29889,1,0.974100,0.971410,0.946652,0.565248
0.200,0.05500,88,30497,2,0.970729,0.972349,0.943009,0.539211
0.200,0.05500,88,29913,3,0.973658,0.972605,0.947116,0.548650
0.200,0.05500,88,29942,4,0.970845,0.974792,0.945157,0.547636
0.200,0.05500,88,30080,5,0.973389,0.975054,0.947570,0.579229
0.200,0.05500,88,29964,6,0.971132,0.971948,0.940483,0.540481
0.200,0.05500,88,30284,7,0.973100,0.973416,0.945129,0.535528
0.200,0.05500,88,29802,8,0.972806,0.972519,0.948607,0.544482
0.200,0.05500,88,29978,9,0.972168,0.973946,0.948162,0.555208
0.200,0.05500,88,29878,10,0.971343,0.974011,0.945930,0.529899
0.200,0.05500,88,29997,11,0.973519,0.973202,0.945899,0.532438
0.200,0.05500,88,29737,12,0.974051,0.973629,0.950407,0.548696
0.200,0.05500,88,29706,13,0.973587,0.975247,0.948235,0.532243
0.200,0.05500,88,29868,14,0.972184,0.975026,0.948682,0.541563
0.200,0.05500,88,29748,15,0.972920,0.973738,0.948341,0.545008
0.200,0.05500,88,29978,16,0.969684,0.975060,0.946005,0.546282
0.200,0.05500,88,30020,17,0.972530,0.971872,0.947813,0.542496
0.200,0.05500,88,30152,18,0.974334,0.974140,0.947838,0.539884
0.200,0.05500,88,29956,19,0.972195,0.971459,0.943581,0.557051
0.200,0.05500,88,29924,20,0.973116,0.974253,0.948870,0.548956
0.200,0.05500,88,29845,21,0.974407,0.971037,0.947444,0.547043
0.200,0.05500,88,29808,22,0.974030,0.972204,0.943308,0.539731
0.200,0.05500,88,30288,23,0.973375,0.972777,0.945508,0.549887
0.200,0.05500,88,30137,24,0.972834,0.974989,0.950568,0.539509
0.200,0.05500,88,29955,25,0.972887,0.970458,0.944186,0.563695
0.200,0.05500,88,30050,26,0.975527,0.971716,0.952087,0.542037
0.200,0.05500,88,29736,27,0.973079,0.974568,0.946768,0.541273
0.200,0.05500,88,30088,28,0.971270,0.972153,0.946980,0.572515
0.200,0.05500,88,30120,29,0.974324,0.972411,0.947398,0.562190
0.200,0.05500,88,30024,30,0.972916,0.973100,0.945348,0.549398
0.200,0.05500,88,29807,31,0.975439,0.970316,0.945503,0.550802
0.200,0.05500,88,29865,32,0.972947,0.973200,0.949676,0.570665
0.200,0.05500,88,30137,33,0.973039,0.973682,0.944568,0.550937
0.200,0.05500,88,29884,34,0.974077,0.973893,0.948005,0.545131
0.200,0.05500,88,30073,35,0.973311,0.975363,0.948311,0.546682
0.200,0.05500,88,29706,36,0.970792,0.973537,0.946536,0.550807
0.200,0.05500,88,30559,37,0.972647,0.974652,0.948559,0.555858
0.200,0.05500,88,29623,38,0.973299,0.975136,0.950882,0.536059
