# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.05500,76,30300,27,0.975725,0.972809,0.948201,0.546923
0.200,0.05500,76,29935,28,0.975174,0.973664,0.951259,0.528874
0.200,0.05500,76,29790,29,0.970958,0.972978,0.944289,0.534544
0.200,0.05500,76,30303,30,0.971827,0.975239,0.947548,0.560185
0.200,0.05500,76,30009,31,0.971148,0.973527,0.945796,0.559953
0.200,0.05500,76,29919,32,0.969757,0.973264,0.943807,0.554191
0.200,0.05500,76,30029,33,0.974792,0.973635,0.949830,0.545332
0.200,0.05500,76,29958,34,0.970291,0.972967,0.945461,0.546245
0.200,0.05500,76,30055,35,0.972342,0.972083,0.946318,0.534520
0.200,0.05500,76,30257,36,0.974357,0.971991,0.945951,0.559482
0.200,0.05500,76,30180,37,0.974119,0.973751,0.949463,0.537859
0.200,0.05500,76,30044,38,0.971543,0.974493,0.947921,0.565438
