# generator=hybrid_1d_LSE.jl  N=150  N_DIS=32  N_EQ=4000  N_SAMP=16000  σ_floor=0.01  generated=2026-06-10T23:43:22.978
alpha,T,disorder,K,phi_mean,phi_var,acc_rate
0.540,0.00250,24,2040253,0.998650,0.000000,0.0197
0.610,0.03750,3,3127066,0.980592,0.000005,0.0887
0.500,0.06750,20,1152014,0.965383,0.000017,0.1185
0.520,0.02750,21,1579418,0.985098,0.000003,0.0788
0.560,0.01250,27,2483195,0.993354,0.000001,0.0532
0.540,0.00750,24,2040253,0.995980,0.000000,0.0403
0.500,0.07250,20,1152014,0.962793,0.000018,0.1251
0.580,0.09250,30,2847535,0.951057,0.000032,0.1399
0.520,0.03250,21,1579418,0.982458,0.000004,0.0878
0.500,0.07750,20,1152014,0.960166,0.000022,0.1300
0.540,0.01250,24,2040253,0.993343,0.000001,0.0542
0.610,0.04250,3,3127066,0.978004,0.000006,0.0972
0.560,0.01750,27,2483195,0.990716,0.000001,0.0626
0.520,0.03750,21,1579418,0.979737,0.000005,0.0942
0.500,0.08250,20,1152014,0.957391,0.000025,0.1285
0.540,0.01750,24,2040253,0.990559,0.000001,0.0645
0.500,0.08750,20,1152014,0.955127,0.000030,0.1337
0.520,0.04250,21,1579418,0.976990,0.000007,0.0988
0.580,0.09750,30,2847535,0.948466,0.000034,0.1442
0.560,0.02250,27,2483195,0.988069,0.000002,0.0731
0.610,0.04750,3,3127066,0.975499,0.000008,0.1010
0.500,0.09250,20,1152014,0.952589,0.000030,0.1420
0.540,0.02250,24,2040253,0.987909,0.000002,0.0724
0.520,0.04750,21,1579418,0.974243,0.000010,0.1111
0.580,0.00250,31,2847535,0.998696,0.000000,0.0181
0.500,0.09750,20,1152014,0.949911,0.000035,0.1429
0.560,0.02750,27,2483195,0.985480,0.000003,0.0736
0.500,0.00250,21,1152014,0.998694,0.000000,0.0184
0.540,0.02750,24,2040253,0.985142,0.000003,0.0791
0.520,0.05250,21,1579418,0.971686,0.000011,0.1135
0.610,0.05250,3,3127066,0.972688,0.000010,0.1041
0.500,0.00750,21,1152014,0.996067,0.000000,0.0415
0.580,0.00750,31,2847535,0.996106,0.000000,0.0420
0.560,0.03250,27,2483195,0.982856,0.000004,0.0829
0.520,0.05750,21,1579418,0.969096,0.000013,0.1163
0.500,0.01250,21,1152014,0.993536,0.000001,0.0522
0.540,0.03250,24,2040253,0.982453,0.000004,0.0806
0.500,0.01750,21,1152014,0.990963,0.000001,0.0614
0.520,0.06250,21,1579418,0.966096,0.000016,0.1242
0.580,0.01250,31,2847535,0.993482,0.000001,0.0529
0.500,0.02250,21,1152014,0.988419,0.000002,0.0695
0.560,0.03750,27,2483195,0.980329,0.000005,0.0930
0.540,0.03750,24,2040253,0.979918,0.000005,0.0964
0.610,0.05750,3,3127066,0.970353,0.000012,0.1141
0.500,0.02750,21,1152014,0.985792,0.000003,0.0765
0.520,0.06750,21,1579418,0.963461,0.000018,0.1240
0.580,0.01750,31,2847535,0.990809,0.000001,0.0619
0.500,0.03250,21,1152014,0.983215,0.000004,0.0857
0.540,0.04250,24,2040253,0.977087,0.000007,0.0970
0.560,0.04250,27,2483195,0.977549,0.000007,0.0992
0.520,0.07250,21,1579418,0.960765,0.000021,0.1286
0.500,0.03750,21,1152014,0.980586,0.000005,0.0891
0.610,0.06250,3,3127066,0.967593,0.000014,0.1166
0.540,0.04750,24,2040253,0.974368,0.000008,0.1018
0.500,0.04250,21,1152014,0.978062,0.000006,0.0939
0.580,0.02250,31,2847535,0.988229,0.000002,0.0693
0.520,0.07750,21,1579418,0.958188,0.000020,0.1288
0.560,0.04750,27,2483195,0.975018,0.000008,0.1050
0.500,0.04750,21,1152014,0.975509,0.000009,0.1009
0.540,0.05250,24,2040253,0.971726,0.000011,0.1126
0.520,0.08250,21,1579418,0.955416,0.000027,0.1419
0.500,0.05250,21,1152014,0.973036,0.000010,0.1080
0.610,0.06750,3,3127066,0.965035,0.000017,0.1208
0.580,0.02750,31,2847535,0.985608,0.000003,0.0761
0.560,0.05250,27,2483195,0.972349,0.000010,0.1058
0.500,0.05750,21,1152014,0.970412,0.000012,0.1064
0.520,0.08750,21,1579418,0.952784,0.000030,0.1402
0.540,0.05750,24,2040253,0.969197,0.000013,0.1093
0.500,0.06250,21,1152014,0.967595,0.000014,0.1149
0.520,0.09250,21,1579418,0.949983,0.000034,0.1461
0.580,0.03250,31,2847535,0.983146,0.000003,0.0826
0.610,0.07250,3,3127066,0.962391,0.000019,0.1270
0.560,0.05750,27,2483195,0.969496,0.000013,0.1164
0.500,0.06750,21,1152014,0.965221,0.000015,0.1195
0.540,0.06250,24,2040253,0.966298,0.000015,0.1187
0.500,0.07250,21,1152014,0.962512,0.000019,0.1211
0.520,0.09750,21,1579418,0.947461,0.000036,0.1494
0.580,0.03750,31,2847535,0.980549,0.000005,0.0918
0.560,0.06250,27,2483195,0.966978,0.000014,0.1159
0.540,0.06750,24,2040253,0.963528,0.000018,0.1244
0.500,0.07750,21,1152014,0.960070,0.000024,0.1273
0.520,0.00250,22,1579418,0.998637,0.000000,0.0193
0.610,0.07750,3,3127066,0.959630,0.000021,0.1295
0.500,0.08250,21,1152014,0.957433,0.000024,0.1268
0.520,0.00750,22,1579418,0.995934,0.000000,0.0437
0.540,0.07250,24,2040253,0.961126,0.000020,0.1311
0.500,0.08750,21,1152014,0.954978,0.000026,0.1404
0.520,0.01250,22,1579418,0.993287,0.000001,0.0541
0.560,0.06750,27,2483195,0.964224,0.000017,0.1184
0.580,0.04250,31,2847535,0.977680,0.000007,0.0934
0.500,0.09250,21,1152014,0.952333,0.000031,0.1398
0.520,0.01750,22,1579418,0.990526,0.000001,0.0634
0.610,0.08250,3,3127066,0.956988,0.000025,0.1363
0.540,0.07750,24,2040253,0.958357,0.000023,0.1347
